"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 11월 15일","67.55","67.55","67.55","67.55","-","0.43%"
"2018년 11월 14일","67.26","67.26","67.26","67.26","-","0.52%"
"2018년 11월 13일","66.91","66.91","66.91","66.91","-","-4.15%"
"2018년 11월 12일","69.81","69.81","69.81","69.81","-","-0.01%"
"2018년 11월 09일","69.82","69.82","69.82","69.82","-","-0.23%"
"2018년 11월 08일","69.98","69.98","69.98","69.98","-","-1.52%"
"2018년 11월 07일","71.06","71.06","71.06","71.06","-","0.10%"
"2018년 11월 06일","70.99","70.99","70.99","70.99","-","-1.24%"
"2018년 11월 05일","71.88","71.88","71.88","71.88","-","0.48%"
"2018년 11월 02일","71.54","71.54","71.54","71.54","-","-0.03%"
"2018년 11월 01일","71.56","71.56","71.56","71.56","-","-9.86%"
"2018년 10월 31일","79.39","79.39","79.39","79.39","-","0.05%"
"2018년 10월 30일","79.35","79.35","79.35","79.35","-","-0.08%"
"2018년 10월 29일","79.41","79.41","79.41","79.41","-","-0.05%"
"2018년 10월 26일","79.45","79.45","79.45","79.45","-","0.09%"
"2018년 10월 25일","79.38","79.38","79.38","79.38","-","0.13%"
"2018년 10월 24일","79.28","79.28","79.28","79.28","-","-0.05%"
"2018년 10월 23일","79.32","79.32","79.32","79.32","-","-1.08%"
"2018년 10월 22일","80.19","80.19","80.19","80.19","-","0.14%"
"2018년 10월 19일","80.08","80.08","80.08","80.08","-","0.06%"
"2018년 10월 18일","80.03","80.03","80.03","80.03","-","-0.27%"
"2018년 10월 17일","80.25","80.25","80.25","80.25","-","-0.74%"
"2018년 10월 16일","80.85","80.85","80.85","80.85","-","0.57%"
"2018년 10월 15일","80.39","80.39","80.39","80.39","-","0.02%"
"2018년 10월 12일","80.37","80.37","80.37","80.37","-","0.22%"
"2018년 10월 11일","80.19","80.19","80.19","80.19","-","-2.03%"
"2018년 10월 10일","81.85","81.85","81.85","81.85","-","-1.69%"
"2018년 10월 09일","83.26","83.26","83.26","83.26","-","0.82%"
"2018년 10월 08일","82.58","82.58","82.58","82.58","-","-0.16%"
"2018년 10월 05일","82.71","82.71","82.71","82.71","-","-0.08%"
"2018년 10월 04일","82.78","82.78","82.78","82.78","-","-1.59%"
"2018년 10월 03일","84.12","84.12","84.12","84.12","-","1.77%"
"2018년 10월 02일","82.66","82.66","82.66","82.66","-","-0.19%"
"2018년 10월 01일","82.82","82.82","82.82","82.82","-","7.21%"
"2018년 09월 28일","77.25","77.25","77.25","77.25","-","0.04%"
"2018년 09월 27일","77.22","77.22","77.22","77.22","-","0.16%"
"2018년 09월 26일","77.10","77.10","77.10","77.10","-","-0.05%"
"2018년 09월 25일","77.14","77.14","77.14","77.14","-","0.16%"
"2018년 09월 24일","77.02","77.02","77.02","77.02","-","0.71%"
"2018년 09월 21일","76.48","76.48","76.48","76.48","-","0.05%"
"2018년 09월 20일","76.44","76.44","76.44","76.44","-","-0.27%"
"2018년 09월 19일","76.65","76.65","76.65","76.65","-","0.20%"
"2018년 09월 18일","76.50","76.50","76.50","76.50","-","0.58%"
"2018년 09월 17일","76.06","76.06","76.06","76.06","-","-0.09%"
"2018년 09월 14일","76.13","76.13","76.13","76.13","-","-0.12%"
"2018년 09월 13일","76.22","76.22","76.22","76.22","-","-1.14%"
"2018년 09월 12일","77.10","77.10","77.10","77.10","-","0.50%"
"2018년 09월 11일","76.72","76.72","76.72","76.72","-","1.54%"
"2018년 09월 10일","75.56","75.56","75.56","75.56","-","0.69%"
"2018년 09월 07일","75.04","75.04","75.04","75.04","-","0.47%"
"2018년 09월 06일","74.69","74.69","74.69","74.69","-","-1.11%"
"2018년 09월 05일","75.53","75.53","75.53","75.53","-","-1.14%"
"2018년 09월 04일","76.40","76.40","76.40","76.40","-","5.39%"
"2018년 08월 31일","72.49","72.49","72.49","72.49","-","-0.03%"
"2018년 08월 30일","72.51","72.51","72.51","72.51","-","0.03%"
"2018년 08월 29일","72.49","72.49","72.49","72.49","-","0.14%"
"2018년 08월 28일","72.39","72.39","72.39","72.39","-","-0.08%"
"2018년 08월 27일","72.45","72.45","72.45","72.45","-","0.08%"
"2018년 08월 24일","72.39","72.39","72.39","72.39","-","0.44%"
"2018년 08월 23일","72.07","72.07","72.07","72.07","-","0.01%"
"2018년 08월 22일","72.06","72.06","72.06","72.06","-","0.95%"
"2018년 08월 21일","71.38","71.38","71.38","71.38","-","0.28%"
"2018년 08월 20일","71.18","71.18","71.18","71.18","-","0.15%"
"2018년 08월 17일","71.07","71.07","71.07","71.07","-","0.27%"
"2018년 08월 16일","70.88","70.88","70.88","70.88","-","0.50%"
"2018년 08월 15일","70.53","70.53","70.53","70.53","-","-1.23%"
"2018년 08월 14일","71.41","71.41","71.41","71.41","-","-0.15%"
"2018년 08월 13일","71.52","71.52","71.52","71.52","-","-0.26%"
"2018년 08월 10일","71.71","71.71","71.71","71.71","-","0.80%"
"2018년 08월 09일","71.14","71.14","71.14","71.14","-","-0.21%"
"2018년 08월 08일","71.29","71.29","71.29","71.29","-","-2.22%"
"2018년 08월 07일","72.91","72.91","72.91","72.91","-","0.77%"
"2018년 08월 06일","72.35","72.35","72.35","72.35","-","0.64%"
"2018년 08월 03일","71.89","71.89","71.89","71.89","-","-0.43%"
"2018년 08월 02일","72.20","72.20","72.20","72.20","-","1.93%"
"2018년 08월 01일","70.83","70.83","70.83","70.83","-","-3.13%"
"2018년 07월 31일","73.12","73.12","73.12","73.12","-","-0.04%"
"2018년 07월 30일","73.15","73.15","73.15","73.15","-","0.01%"
"2018년 07월 27일","73.14","73.14","73.14","73.14","-","0.00%"
"2018년 07월 26일","73.14","73.14","73.14","73.14","-","0.18%"
"2018년 07월 25일","73.01","73.01","73.01","73.01","-","0.26%"
"2018년 07월 24일","72.82","72.82","72.82","72.82","-","0.21%"
"2018년 07월 23일","72.67","72.67","72.67","72.67","-","0.11%"
"2018년 07월 20일","72.59","72.59","72.59","72.59","-","0.21%"
"2018년 07월 19일","72.44","72.44","72.44","72.44","-","-0.39%"
"2018년 07월 18일","72.72","72.72","72.72","72.72","-","0.48%"
"2018년 07월 17일","72.37","72.37","72.37","72.37","-","0.50%"
"2018년 07월 16일","72.01","72.01","72.01","72.01","-","-2.45%"
"2018년 07월 13일","73.82","73.82","73.82","73.82","-","0.81%"
"2018년 07월 12일","73.23","73.23","73.23","73.23","-","1.22%"
"2018년 07월 11일","72.35","72.35","72.35","72.35","-","-4.46%"
"2018년 07월 10일","75.73","75.73","75.73","75.73","-","0.87%"
"2018년 07월 09일","75.08","75.08","75.08","75.08","-","1.12%"
"2018년 07월 06일","74.25","74.25","74.25","74.25","-","-0.38%"
"2018년 07월 05일","74.53","74.53","74.53","74.53","-","-0.47%"
"2018년 07월 03일","74.88","74.88","74.88","74.88","-","0.74%"
"2018년 07월 02일","74.33","74.33","74.33","74.33","-","1.01%"
"2018년 06월 29일","73.59","73.59","73.59","73.59","-","0.03%"
"2018년 06월 28일","73.57","73.57","73.57","73.57","-","-0.01%"
"2018년 06월 27일","73.58","73.58","73.58","73.58","-","0.19%"
"2018년 06월 26일","73.44","73.44","73.44","73.44","-","0.40%"
"2018년 06월 25일","73.15","73.15","73.15","73.15","-","-0.20%"
"2018년 06월 22일","73.30","73.30","73.30","73.30","-","0.92%"
"2018년 06월 21일","72.63","72.63","72.63","72.63","-","-0.53%"
"2018년 06월 20일","73.02","73.02","73.02","73.02","-","-0.23%"
"2018년 06월 19일","73.19","73.19","73.19","73.19","-","-0.41%"
"2018년 06월 18일","73.49","73.49","73.49","73.49","-","0.96%"
"2018년 06월 15일","72.79","72.79","72.79","72.79","-","-1.56%"
"2018년 06월 14일","73.94","73.94","73.94","73.94","-","-0.70%"
"2018년 06월 13일","74.46","74.46","74.46","74.46","-","0.66%"
